id,user_id,"time_completed",ab_version,"utm_campaign","utm_source"
1395894,NULL,"2019-02-04 11:00:50",1,"bce35d698de9671be8f07c6144093ac8","26cae7718c32180a7a0f8e19d6d40a59"
1395895,NULL,"2019-02-04 07:57:02",10,"bce35d698de9671be8f07c6144093ac8","26cae7718c32180a7a0f8e19d6d40a59"
1395896,317193,"2019-02-03 14:20:40",3,"d61786ed8de99aadac6efe261c22a710","26cae7718c32180a7a0f8e19d6d40a59"
1395897,317191,"2019-02-02 23:10:26",9,"2458fd8628aae520ede956f2d684df1d","738aa8d3bc02eb8712acd0eb2cf6dfd5"
1395898,317192,"2019-02-05 15:26:50",8,"ab24de53837e010f4c9ff15490cc12c3","29ecf9b93bbf306179626feeda1fab70"
1395899,NULL,"2019-02-03 19:28:35",9,"4d6c97b33b239a7b0f75570911f9e1d4","28198b369067e88dab9fefe85484dbf4"
1395900,NULL,"2019-02-01 00:33:26",9,"bce35d698de9671be8f07c6144093ac8","26cae7718c32180a7a0f8e19d6d40a59"
1395901,NULL,"2019-02-04 01:33:22",1,"4d6c97b33b239a7b0f75570911f9e1d4","28198b369067e88dab9fefe85484dbf4"
1395902,NULL,"2019-02-05 00:33:42",0,"0d22bbf50cb74dd16d19aaeb3e3241d1","c822c1b63853ed273b89687ac505f9fa"
1395903,NULL,"2019-02-03 18:54:22",8,"4d6c97b33b239a7b0f75570911f9e1d4","28198b369067e88dab9fefe85484dbf4"
1395904,317195,"2019-02-04 17:47:54",0,"be72842cfcdae155d023f27aee43d51b","f8a9524b7f131681e9eb851b7981d4ce"
1395905,NULL,"2019-02-03 02:22:16",2,"5e181be3d386dcd606c79e0bc4453719","b1abdad24f3fdd7fa2b7926fdaf42766"
1395906,317194,"2019-02-05 19:58:34",9,"d61786ed8de99aadac6efe261c22a710","26cae7718c32180a7a0f8e19d6d40a59"
1395907,317196,"2019-02-04 09:46:06",0,"4d6c97b33b239a7b0f75570911f9e1d4","28198b369067e88dab9fefe85484dbf4"
1395908,NULL,"2019-02-03 13:31:01",5,"cb4103b853ababd7c44d06975e79cddc","c822c1b63853ed273b89687ac505f9fa"
1395909,NULL,"2019-02-02 09:55:00",2,"eee8759449b0c99097f5731d561101d2","60c0b5dccb0df67dcd6207f3ccd898ae"
1395910,NULL,"2019-02-02 10:51:21",4,"d61786ed8de99aadac6efe261c22a710","26cae7718c32180a7a0f8e19d6d40a59"
1395911,NULL,"2019-02-03 14:51:20",5,"b322ca5be859ae42e80a23f025080d07","60c0b5dccb0df67dcd6207f3ccd898ae"
1395912,75959,"2019-02-05 20:56:21",9,"4d6c97b33b239a7b0f75570911f9e1d4","28198b369067e88dab9fefe85484dbf4"
1395913,317197,"2019-02-02 14:40:49",11,"b322ca5be859ae42e80a23f025080d07","60c0b5dccb0df67dcd6207f3ccd898ae"
1395914,NULL,"2019-02-01 23:38:11",4,"bce35d698de9671be8f07c6144093ac8","26cae7718c32180a7a0f8e19d6d40a59"
1395915,317198,"2019-02-01 02:41:34",1,"4d6c97b33b239a7b0f75570911f9e1d4","28198b369067e88dab9fefe85484dbf4"
1395916,NULL,"2019-02-01 21:21:50",3,"b322ca5be859ae42e80a23f025080d07","60c0b5dccb0df67dcd6207f3ccd898ae"
1395917,NULL,"2019-02-05 05:09:10",1,"4d6c97b33b239a7b0f75570911f9e1d4","28198b369067e88dab9fefe85484dbf4"
1395918,317199,"2019-02-01 12:11:44",7,"b322ca5be859ae42e80a23f025080d07","60c0b5dccb0df67dcd6207f3ccd898ae"
1395919,NULL,"2019-02-05 19:31:03",0,"4d6c97b33b239a7b0f75570911f9e1d4","28198b369067e88dab9fefe85484dbf4"
1395920,NULL,"2019-02-02 03:11:25",10,"d61786ed8de99aadac6efe261c22a710","26cae7718c32180a7a0f8e19d6d40a59"
1395921,317200,"2019-02-05 08:38:17",6,"d61786ed8de99aadac6efe261c22a710","26cae7718c32180a7a0f8e19d6d40a59"
1395922,NULL,"2019-02-05 08:21:20",11,"bce35d698de9671be8f07c6144093ac8","26cae7718c32180a7a0f8e19d6d40a59"
1395923,317201,"2019-02-05 21:06:07",0,"4d6c97b33b239a7b0f75570911f9e1d4","28198b369067e88dab9fefe85484dbf4"
1395924,317202,"2019-02-04 11:21:33",10,"bce35d698de9671be8f07c6144093ac8","26cae7718c32180a7a0f8e19d6d40a59"
